unclean_ticker,ticker,company_name,vertical,ipo_type,price,ytd_performance,revenue_ttm,revenue_growth_rate,market_cap,gross_margin,ebitda_margin,net_profit_margin_ttm,ev_to_gp,ev_to_rev,estimated_revenue_growth,ev_to_ntm_rev,price_to_book_value,enterprise_value
MELI,MELI,MercadoLibre,Payments,IPO,1710.37,-0.13341946597760557,28893000000.0,0.39,83594377845.20242,0.44502128543245767,0.11812549752535216,0.06911708718374693,7.221265333955514,3.2136167813657286,0.2405490519534299,2.4229878852505045,12.849876788075488,92851029664.0
GDOT,GDOT,Green Dot,Banking,IPO,11.2,-0.11111111111111116,2080491000.0,0.21,580751582.699586,0.2452065401869078,0.06764268626973152,-0.04752051318655068,-1.4505154366362834,-0.355675871705285,0.059159519358921386,-0.3283578439637179,0.6990388216202722,-739980450.0
FLT,CPAY,Corepay (fka Fleetpay),Payments,IPO,298.23,-0.007851225922352545,4528403000.0,0.14,21902776360.473026,0.7396561215951849,0.5164800924299361,0.23624796644644921,8.226835251403136,6.085029055055392,0.10278721453045314,5.222529521767821,5.24932673859856,27555463828.0
XROLF,XRO.AU,Xero,B2B SaaS,IPO,,,1621904267.8287337,0.23,,0.8184073862572592,0.2749221997563105,0.11617856931141292,5.124627784601387,4.19403323073695,1.1957285769816188,1.910087282510264,,6802320396.347791
QTWO,QTWO,Q2 Holdings,B2B SaaS,IPO,48.73,-0.2981420135388162,794809000.0,0.14,2770729077.777397,0.5406116438037315,0.12374671147407743,0.0654,6.733593646944375,3.640259130180962,0.10177009900385503,3.3011219494485355,4.619833143723929,2893310719.0
VIRT,VIRT,Virtu Financial Inc,Wealth/Asset Mgmt,IPO,47.49,0.46517095203717096,3632118000.0,0.26,8269875936.954103,0.5892482017379391,0.49629499922634673,0.1289498303744537,5.5686887136316425,3.281339810545803,0.0029317932444834494,5.395340767093715,2.54870391241346,11918213390.0
SHOP,SHOP,Shopify,Payments,IPO,118.8,-0.2442748091603053,11556000000.0,0.3,144020342126.1087,0.48070266528210454,0.12971616476289374,0.10652474904811353,26.756466241944196,12.861904636033229,0.23148806827139,10.136095660246777,11.49714506919578,148632169974.0
PYPL,PYPL,Paypal,Payments,IPO,45.48,-0.2153818285329815,33172000000.0,0.04,50233306371.72309,0.4662064391655613,0.23200289400699384,0.15775352707102375,2.671059187455545,1.245264992584107,0.04426347713819645,1.2091599319279864,2.0656765226870144,41307930334.0
SQ,XYZ,Square,Payments,IPO,60.68,-0.0686108979278589,24193683000.0,0.0,36703030547.14261,0.428208016117265,0.1210897075902003,0.053907046727858676,3.1676284538243458,1.3564038960087226,0.11073163402055397,1.234962961171322,1.6453808400444698,32816405880.0
BL,BL,Blackline,B2B SaaS,IPO,36.15,-0.32781703235403503,700427000.0,0.07,2094303088.9299433,0.7520826581499571,0.1507194896827221,0.03500436162512296,4.3731528800502675,3.288972442524346,0.10914292457468888,3.008166265116029,6.513513513513513,2303685101.0
PAGS,PAGS,PagSeguro,Payments,IPO,10.63,0.11054231657246749,3849294964.7552285,0.08,3503584079.8348274,0.5082100321228058,0.46995346840059476,0.10725048265186415,5.305406751454962,2.696260935581477,0.04506175265198786,0.4827696792429271,1.0552649082227274,10378703643.0
ADYEY,ADYEN.AS,Adyen,Payments,IPO,,,2913132071.1152163,0.25,,0.7314218570117957,0.5401015711225728,0.4210767014550073,8.91403026597321,6.519916570597477,0.20788595216050587,6.70825738641522,,18993378062.803047
EVER,EVER,EverQuote,Insurance,IPO,15.35,-0.39638222571765636,692521000.0,0.38,545660932.5008585,0.9720225090647071,0.10439105817729714,0.1434,0.5617185380288972,0.5460030627230077,0.11510616781619287,0.48544799242137515,2.337444799756357,378118587.0
STNE,STNE,Stone,Payments,IPO,14.27,-0.028590878148400223,2101710747.2279937,-0.11,4260023221.323863,0.6843859122664203,0.47061428495611796,0.21133930350146493,3.696605451992359,2.529904694550814,0.05705415727854746,0.35161057277574403,1.6784483468401181,5317127886.0
BILL,BILL,Bill.com,B2B SaaS,IPO,38.49,-0.23872626582278478,1551978000.0,0.12,4052742404.4436083,0.805802015234752,0.06762918031054564,-0.01560009226934918,2.773443028753697,2.234845981708504,0.19810416771371764,1.865318594102839,1.0107402641737349,3468431797.0
LMND,LMND,Lemonade,Insurance,IPO,61.94,-0.1845708267509215,737900000.0,0.4,4043587523.0530357,0.4462664317658219,-0.19745222929936307,-0.22428513348692233,13.642240914060128,6.088074174007318,0.3277877451768578,3.769603389576159,8.81081081081081,4492389933.0
NCNO,NCNO,nCino,Banking,IPO,17.36,-0.2957403651115619,594781000.0,0.1,1969605206.6567523,0.6055489331367344,0.09080316956997618,0.008709087882766935,5.973401242194637,3.617186749408606,0.17319512560085149,3.0831927873516056,1.8700851017989875,2151433952.0
LSPD,LSPD,Lightspeed POS Inc.,Payments,IPO,8.92,-0.24020442930153318,1194695000.0,0.13,1325807740.5014966,0.3964677177020076,-0.4628880174437827,-0.5797337395736988,1.611181951956897,0.6387816312950167,0.13419922239567428,0.563200554789459,0.8150584795321637,763149221.0
ROOT,ROOT,Root Insurance,Insurance,IPO,44.85,-0.36741889985895626,1517100000.0,0.29,1706798974.075724,0.25482829081800806,0.048513611495616636,0.026563838903170524,0.5253910139679255,0.13388449410058664,0.1522420836849081,0.1234452573429724,2.4452077199869153,203116166.0
LU,LU,Lufax,Lending,IPO,2.1581073283323717,-0.3154226828007388,3399235001.233869,-0.18,5065310871.00522,0.47885571151544243,0.31891296977109357,-0.16529109847166523,-0.4645195647866101,-0.22243784670873584,,,0.15771603232596718,-756118514.1314288
UPST,UPST,Upstart,Lending,IPO,26.91,-0.4129581151832461,1075521000.0,0.59,2185412093.8165555,0.952082758030759,0.09216928353793184,0.0498,3.6597933602543007,3.4844261562535737,0.32294542868146814,2.670224015038521,3.302650957290133,3747573504.0
OPEN,OPEN,OpenDoor,PropTech,SPAC,4.61,-0.24052718286655683,4371000000.0,-0.15,2724472410.567069,0.07755662319835278,-0.05239075726378403,-0.2974,14.455642415929203,1.1211308119423473,0.5694008299032354,1.157159815388289,4.390476190476191,4900462779.0
CLOV,CLOV,Clover Health,Insurance,SPAC,1.87,-0.22406639004149376,1924308000.0,0.4,861187277.2449876,0.1849506419970192,-0.04434996892389368,-0.0445,1.6101110165157824,0.2977910661910671,0.15367383490749353,0.1991216196597577,3.1428571428571432,573041731.0
AFRM,AFRM,Affirm,Lending,IPO,48.45,-0.3455355936782385,3715908000.0,0.33,13852384455.287027,0.6772447003531842,0.2671898766062023,0.076,8.883863072448749,6.016549184479271,0.3844615636339759,4.345768306262584,4.537791514470357,22356943247.0
LDI,LDI,LoanDepot,Lending,IPO,1.43,-0.3157894736842105,1339105000.0,0.21,464952270.89081067,0.7843940542377185,-0.00157493251089347,-0.046781992450181276,5.848244405390019,4.587328139316932,0.13763496549476129,4.287705391500271,1.3816425120772948,6142914048.0
OSCR,OSCR,Oscar Health,Insurance,IPO,12.76,-0.14762859051436206,11701427000.0,0.27,2815951668.0179005,0.1437775067946841,-0.03341310423079168,-0.03787153481365991,0.7162973890901223,0.10298745272691955,0.006605677843588564,0.06416430493186787,3.880778588807786,1205100160.0
COMP,COMP,Compass,PropTech,IPO,6.8,-0.35238095238095235,6961600000.0,0.24,3105430517.468838,0.16425821650195357,0.008101585842335095,-0.008403240634336935,4.831728909488413,0.7936511732934958,0.08687236219400307,0.40410015803394866,4.899135446685879,5525082008.0
ALKT,ALKT,Alkami Technology,B2B SaaS,IPO,16.78,-0.2601410934744267,443639000.0,0.33,1602616537.7014315,0.578395948056866,-0.061189390472884485,-0.10741165677499048,7.900522854726636,4.56963040670455,0.1734326293064048,3.834195934285104,4.917936694021102,2027266264.0
COIN,COIN,Coinbase,Wealth/Asset Mgmt,Direct Listing,174.79,-0.26102397158922763,6432381999.0,-0.02,41246520312.6064,0.7711704621664526,0.2598043711116355,0.1831,8.30481378115406,6.404427081818901,0.19083632488158275,5.8255345140817765,3.164650926998841,41195721475.0
FLYW,FLYW,Flywire,Payments,IPO,11.9,-0.14388489208633093,623025000.0,0.27,1381753631.3007672,0.565410697805064,0.06731993098190281,0.0217,3.0492317686968615,1.7240682621082621,0.15102115033119135,1.482666603042561,1.737733644859813,1074137629.0
PAY,PAY,Paymentus,Payments,IPO,25.35,-0.1095890410958903,1196507000.0,0.37,3062272736.648934,0.24767260032745317,0.09279761840089527,0.05596624173531789,9.64341996409554,2.388410898557217,0.18854722698555682,2.0352908521245916,5.681308830121022,2857750359.0
