Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2025-03-31 00:00:00,0.7466650621,0.7160817497,0.5906226006,,0.7021306007,,0.804325856,0.7528809335,0.5919124816,0.380173549,,,0.2636545266,0.7812175772,0.1294173186,,0.4067580364,,,,0.9630729631,,0.7815780203,0.5673801988,,0.326636122,0.1393981321,0.7325822152,,0.3705692803,0.4180851874,0.8899562176,0.6389172999,0.4909013444,0.4743613306,,,0.6005367276,0.9081507688,0.4502663017,0.546724082,0.08156097561,0.202782571,0.4834958131,0.2613737586,0.8246649601,0.4535868951,0.5112190939,0.350518571,0.5949129689,0.8309815951,,,0.4994135835,0.9337941003,0.7332984983,0.2464572961,0.7794813031,0.5826891563,0.7801087801,0.8883398557
2024-12-31 00:00:00,0.57092012,0.76038014,0.58683117,,0.68037545,,0.79745074,0.7520954,0.5569964,0.36567653,,,0.26606065,0.8220037,0.12554405,,0.41174751,,,,0.95817189,,0.75226545,0.62110683,,0.44626296,0.43832303,0.72645792,,0.47388414,0.38578802,0.88242883,0.41556104,0.48270101,0.46094239,,,0.59401987,0.9076498,0.46172536,0.54897206,0.08402872,0.20103099,0.47946619,0.26899036,0.81769041,0.43258639,0.49516558,0.33538834,0.6057796,0.81735005,,,0.5036036,0.88104379,0.73564485,0.23991935,0.74874763,0.52046351,0.78010878,0.88833986
2024-09-30 00:00:00,0.68,0.74,0.57,,0.64,,0.8,0.75,0.53,0.35,,,0.18,0.81,0.12,,0.38,,,0.24,0.93,,,0.61,,0.34,0.06,0.71,,0.08,0.36,0.92,,0.21,0.48,,0.47,0.58,0.91,0.68,0.57,0.09,0.1,0.48,0.29,0.82,0.43,0.48,0.33,0.61,0.84,,,0.51,0.64,0.73,0.22,0.89,0.59,0.74,0.74
2024-06-30 00:00:00,0.68,0.65,0.55,,0.65,,0.81,0.75,0.54,0.34,,,0.15,0.81,0.14,,0.4,,,0.24,0.92,0.54,0.76,0.62,,0.37,0.07,0.7,,0.11,0.42,0.92,,0.37,0.49,,0.54,0.58,0.91,0.65,0.59,0.09,1.0,0.47,0.29,0.83,0.44,0.48,0.33,0.62,0.82,,,0.51,0.55,0.61,0.22,0.84,0.41,0.71,0.74
2024-03-31 00:00:00,0.25,0.55,0.54,,0.66,,0.82,0.75,0.52,0.34,,,0.12,0.86,0.16,,0.43,,,0.25,0.92,0.55,0.76,0.63,,0.4,0.09,0.69,,0.16,0.44,0.88,,0.32,0.5,,0.61,0.59,0.91,0.62,0.61,0.07,0.12,0.49,0.3,0.84,0.46,0.48,0.3,0.61,0.8,,,0.5,0.49,0.73,0.22,0.76,0.39,0.67,0.75
2023-12-31 00:00:00,0.25,0.49,0.53,,0.66,0.68,0.82,0.75,0.46,0.34,,,0.08,0.86,0.18,,0.45,,,0.62,0.93,0.58,0.78,0.63,,0.43,0.1,0.68,,0.21,0.33,0.91,,0.44,0.51,,0.69,0.59,0.91,0.76,0.64,0.05,0.13,0.5,0.3,0.85,0.47,0.47,0.22,0.57,0.89,,,0.49,0.64,0.74,0.21,0.7,0.39,0.73,0.88
2023-09-30 00:00:00,0.25,0.45,0.53,,0.65,0.68,0.82,0.75,0.42,0.35,0.1,,0.06,0.86,0.18,,0.46,,,0.63,0.94,0.6,0.78,0.63,,0.45,0.12,0.68,,0.24,0.35,0.96,0.22,0.4,0.5,,0.69,0.59,0.91,0.52,0.66,0.06,0.14,0.5,0.3,0.85,0.48,0.47,0.15,0.53,0.88,,,0.48,0.68,0.74,0.21,0.71,0.3,0.68,0.87
2023-06-30 00:00:00,0.144,0.355,0.5273,,0.6416,0.673,0.8089,0.756,0.3781,0.3455,0.1003,,0.0208,0.8396,0.1737,0.8792,0.4722,,,0.6281,0.9403,0.619,0.7726,0.6412,0.570581,0.4864,0.136,0.6727,,0.3322,0.4542,0.8408,0.78,0.4175,0.4967,,0.6849,0.5937,0.9207,0.6898,0.6718,0.0223,0.1845,0.5104,0.2936,0.859,0.4173,0.4598,0.1336,0.5146,0.8773,,,0.4798,0.804,0.7347,0.1977,0.715,0.514,0.682,0.8729
2023-03-31 00:00:00,0.106,0.4166,0.5317,,0.6297,0.657,0.7993,0.7567,0.3771,0.3418,0.0924,,0.0066,0.803,0.1702,0.8606,0.4856,0.4068,0.5645,0.6218,0.9406,0.631,0.7718,0.595,0.570581,0.4454,0.181034,0.6559,0.245,0.3516,0.4539,0.8336,0.869732,0.4272,0.49,,0.6891,0.5885,0.9258,0.6768,0.6882,0.0428,0.1723,0.5126,0.3018,0.8344,0.4235,0.4523,0.1252,0.5008,0.8682,-0.145476,0.556217,0.4918,0.794,0.7221,0.1871,0.7767,0.539,0.649348,0.8722
2022-12-31 00:00:00,0.119619,0.4785,0.5393,,0.6187,0.649,0.7888,0.7545,0.4015,0.3251,0.0933,0.5926,0.0027,0.7932,0.1846,0.8329,0.4973,0.4357,0.576471,0.6188,0.9426,0.6,0.7723,0.6611,0.570581,0.4556,0.181034,0.6426,0.2246,0.378,0.4681,0.8548,0.869732,0.4414,0.4716,,0.6954,0.5901,0.9276,0.6804,0.7102,0.0525,0.1695,0.4989,0.3023,0.8239,0.429,0.4519,0.1458,0.4908,0.9038,-0.145476,0.556217,0.5051,0.778,0.7026,0.1723,0.815,0.585,0.649348,0.8722
