Date,ADYEY,AFRM,ALKT,AVDX,AVLR,BHG,BILL,BKKT,BL,BLND,BLSH,BTRS,BULL,CHYM,CLOV,COIN,COMP,CRCL,DAVE,DCT,DLO,DOMA,ENV,ETOR,EVER,EXFY,FCH.L,FIGR,CPAY,FLYW,GDOT,GEMI,HIPO,HOOD,INTA,KLAR,KPLT,LDI,LMND,LSPD,LU,MELI,MILE,ML,MQ,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,ROOT,SEZNL,SHOP,SLDE,SOFI,SQ,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2025-12-31 00:00:00,14.2,9.0,6.6,,,,3.4,,5.0,5.2,29.7,,6.84,4.1,0.6,8.0,0.9,7.3,6.1,,3.7,,,0.1,1.3,,,21.5,6.3,2.3,,10.6,1.3,23.4,6.7,1.7,,4.84,7.8,1.0,0.2,4.1,,,2.2,5.3,1.1,5.06,,1.4,0.2,0.8,3.3,1.5,1.7,5.8,,1.6,0.5,,19.0,1.5,9.9,1.6,2.2,3.3,5.7,,4.5,8.1
2025-09-30 00:00:00,14.0,9.4,9.6,,,,3.1,,5.5,5.4,,,16.0,3.3,0.9,12.9,0.6,22.0,,,3.4,,,0.35,1.3,,,,7.4,2.4,,,1.4,33.9,8.0,,,4.55,5.4,0.9,0.3,5.9,,,3.3,6.1,1.0,5.19,,0.5,0.4,1.0,4.0,2.0,2.3,8.2,,2.5,,,15.4,,11.1,1.7,2.5,4.6,9.2,4.17,5.7,15.0
2025-06-30 00:00:00,19.51,9.41,9.63,,,,3.07,,5.46,5.43,,,,,0.85,12.87,0.62,,,,3.39,,,,1.31,,,,7.44,2.4,,,1.44,24.24,8.02,,,4.89,5.41,0.92,0.26,5.91,,,3.31,6.06,1.0,4.89,3.82,0.46,0.36,1.03,4.01,1.98,2.33,8.16,,2.47,,,15.39,,7.69,1.67,2.46,4.62,9.23,,5.67,15.0
2025-03-31 00:00:00,18.09,7.4,7.75,3.23,,,3.06,,4.7,5.98,,,,,1.177,6.33,0.85,,,,2.51,,,,1.67,,,,7.8,1.15,,,0.77,10.94,9.4,,,5.21,3.78,0.66,0.24,4.91,,,1.93,6.1,0.89,4.53,2.3,0.46,0.16,0.96,3.52,2.2,2.06,7.11,1.96,3.02,,,13.43,,4.97,1.37,1.96,3.57,7.47,,5.3,11.76
2024-12-31 00:00:00,19.35,7.85,10.27,3.3,,,3.9,,5.73,6.79,,,,,0.55,9.23,0.66,,,,2.3,,3.31,,2.14,,,,7.25,3.36,,,0.88,6.52,7.87,,,5.59,1.9,1.88,0.15,5.99,,1.19,2.88,7.2,1.49,6.48,1.78,0.67,0.45,0.97,3.31,2.6,2.55,7.6,2.4,2.27,,,12.82,,3.94,1.71,1.95,3.36,7.45,,4.28,14.33
2024-09-30 00:00:00,15.8,6.62,9.37,5.39,,,3.79,,5.86,4.21,,,,,0.149,13.98,0.44,,,,2.42,,3.45,,2.43,,,,6.43,3.4,,,0.33,6.28,6.05,,,5.6,2.01,1.54,,5.33,,2.0,2.78,7.35,1.73,7.825,1.5,0.55,0.26,0.96,3.24,1.76,1.92,6.04,1.62,2.2,,,11.0,,2.92,1.68,1.84,3.2,5.14,,,13.21
2024-06-30 00:00:00,6.9,8.25,8.49,6.24,,,5.43,,7.03,5.45,,,,,0.13,20.54,0.42,,,,5.55,,3.26,,2.1,0.89,,,7.3,5.92,,,1.54,5.56,5.91,,,5.38,2.15,1.71,,5.29,,2.04,2.57,8.53,1.76,9.64,2.24,0.5,0.3,1.02,4.26,1.48,2.32,5.32,1.63,3.98,,,13.79,,4.99,2.34,2.2,3.17,6.04,2.74,7.35,14.11
2024-03-31 00:00:00,3.44,11.23,8.98,6.13,,,7.04,,7.14,4.06,,,,,,15.11,0.44,,,,7.79,,3.0,,1.17,1.15,,,7.08,5.79,,,0.05,2.72,6.77,,,6.05,2.31,2.96,,5.99,,1.86,3.09,8.16,1.72,6.94,2.7,0.52,0.19,1.19,3.54,1.67,2.26,4.6,0.94,3.89,,,14.49,,7.0,2.26,2.4,2.46,7.72,4.17,6.94,11.81
2023-12-31 00:00:00,2.68,6.82,7.0,4.7,,,10.24,0.55,6.62,1.94,,,,,0.08,6.26,0.35,,,,9.36,,2.78,,0.58,1.44,,,6.72,10.13,,,0.05,,6.3,,,,1.8,1.88,,5.41,,0.87,2.13,7.99,1.06,,2.96,0.32,,0.79,3.41,2.22,2.29,3.6,0.8,5.5,,,10.54,,,1.35,1.41,2.74,5.3,,6.84,13.04
2023-09-30 00:00:00,4.83,5.49,6.65,5.54,,0.46,12.34,4.15,6.67,0.91,,,,,0.07,5.57,0.37,,,,6.54,,3.41,,0.47,3.71,,,6.69,9.59,,,1.66,2.34,8.38,,,,3.1,2.23,0.07,5.56,,1.14,1.44,7.83,1.16,,3.29,0.39,0.02,0.9,2.18,1.78,2.66,3.49,1.23,4.3,,,13.39,,6.69,2.1,1.96,3.64,5.51,2.95,,13.29
2023-06-30 00:00:00,4.4,4.6,5.3,3.9,,0.5,9.2,3.1,8.4,0.7,,,,,0.1,4.7,0.3,,0.3,,11.4,,3.3,,1.1,3.8,,,6.2,10.0,,,1.8,2.61,9.1,,,,2.9,2.1,0.2,6.5,,1.3,1.1,6.8,2.1,,4.8,0.3,0.1,0.9,1.9,2.7,3.1,3.0,0.9,4.1,,,11.5,,6.15,2.4,1.8,3.1,2.3,1.96,7.3,12.3
2023-03-31 00:00:00,4.7,3.7,6.3,5.6,,0.02,14.3,6.1,8.8,0.8,,,,,0.03,1.3,0.2,,0.3,4.5,10.8,0.3,3.3,,1.1,4.1,0.1,,5.8,8.8,0.58,,0.78,5.38,5.3,,,0.17,3.6,2.0,0.3,4.7,,1.6,2.4,7.8,1.3,12.96,3.3,0.4,,1.1,1.8,2.5,3.0,3.4,0.7,2.7,,,7.7,,3.15,2.2,1.7,3.4,1.4,0.91,9.8,9.7
2022-12-31 00:00:00,4.73,5.94,6.99,4.8,9.73,0.03,20.31,30.61,8.98,1.1,,9.77,,,0.2,2.16,0.18,,0.21,4.19,16.89,0.18,2.44,,0.43,7.32,,,5.82,8.96,0.71,,1.6,6.61,4.13,,0.42,0.09,7.5,3.24,0.4,5.03,,2.06,3.53,11.05,1.2,16.44,5.05,0.46,,1.73,2.35,2.97,3.85,4.09,0.82,2.64,0.55,0.55,5.69,,3.69,2.03,1.88,3.42,1.73,0.95,11.62,10.94
2022-09-30 00:00:00,6.42,5.67,6.0,3.35,7.65,0.11,20.29,36.75,9.72,1.16,,5.15,,,0.37,1.17,0.25,,0.7,5.55,25.22,0.35,2.85,,0.56,9.25,0.27,,7.07,7.04,0.95,,1.85,4.5,3.37,,0.41,0.07,6.15,4.63,1.06,4.37,,2.99,4.84,11.05,0.94,16.83,7.29,0.48,0.48,1.36,3.5,1.77,3.21,4.9,0.75,1.66,,0.29,6.91,,4.39,2.18,1.42,2.81,2.68,1.11,4.97,11.41
