Date,ADYEY,AFRM,ALKT,AVLR,AVDX,BKKT,BILL,BL,BLND,SQ,BHG,BTRS,CLOV,COIN,COMP,DAVE,DLO,DOMA,DCT,ENV,EVER,EXFY,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,HOOD,ROOT,SEZNL,SHOP,SOFI,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2025-06-30 00:00:00,0.4418231042,-0.02068184169,-0.1046751998,,0.0042,,0.027,0.2359664819,-0.264037129,0.1093,,,-0.01689359183,0.2203,-0.0121729161,,0.1918764286,,,,0.06643775065,,0.2514731131,0.009691237221,,-0.003101987041,-0.181598063,-0.0378,,-0.3890082349,-0.6196,-0.07441800879,-0.1032021422,0.1043116834,0.09469766587,,,-0.05270276824,0.0401,0.1831235057,0.01091582611,-0.07180487805,0.0122,0.1145702022,0.05275515666,0.113201827,0.1426598883,-0.02766789095,-0.1834771749,-0.003351348243,0.4877,,,0.1717,0.1738,-0.1035,0.03025660666,-0.09208087814,0.1082755554,0.2533,0.1128915868
2025-03-31 00:00:00,0.42700115,-0.0710427,-0.1223158,,0.0186,,0.05899271,0.2467,-0.3225856,0.1201,,,-0.0313675,0.39906029,-0.0274289,,0.172825,,,,0.0643,,0.25254083,0.0059,,-0.0155,-0.1088417,-0.0477906,,-0.3840456,-0.115892,-0.0950676,-0.1670403,0.05382104,0.09197671,,,-0.0701,0.0442,0.18231542,-0.0031481,-0.0760722,0.00277111,0.11543587,0.05066734,0.12392453,0.13051552,-0.0553309,-0.1580099,-0.0292556,0.4781,,,0.2274,0.18829193,-0.1189,0.00383065,-0.2044753,0.10833461,0.2758,0.11289159
2024-12-31 00:00:00,0.37,-0.22,-0.17,,-0.03,,-0.02,0.19,-0.79,0.03,,,-0.07,0.33,-0.05,,0.17,,,-0.19,-0.09,,0.26,-0.02,,-0.03,-0.58,-0.07,,-0.5,-0.14,-0.11,-0.16,-0.03,0.08,,0.001,-0.06,-0.02,0.18,-0.09,-0.09,0.001,0.11,0.05,0.11,0.14,-0.1,-0.14,-0.1,0.13,,,0.16,-0.05,0.17,-0.03,-0.38,0.1,0.25,0.1
2024-09-30 00:00:00,0.37,-0.32,-0.2,,-0.08,,-0.04,0.12,-0.91,0.02,,,-0.09,0.36,-0.06,,0.19,,,-0.15,-0.17,-0.27,0.26,-0.03,,-0.02,-0.94,-0.1,,-0.53,-0.24,-0.11,-0.02,-0.33,0.07,,-0.06,-0.1,-0.02,0.17,-0.19,-0.06,-0.01,0.11,0.04,0.13,0.14,-0.12,-0.14,-0.11,0.06,,,-0.03,-0.08,0.21,-0.06,-0.33,0.06,0.25,0.1
2024-06-30 00:00:00,0.1,-0.39,-0.24,,-0.12,,-0.1,0.09,-1.17,0.001,,,-0.11,0.03,-0.07,,0.23,,,-0.19,-0.18,-0.28,0.26,-0.02,,0.001,-1.29,-0.14,,-0.58,-0.31,-0.17,0.03,-0.33,0.07,,-0.11,-0.12,-0.02,0.17,-0.26,-0.05,-0.05,0.1,0.04,0.11,0.14,-0.1,-0.12,-0.12,-0.29,,,0.02,-0.15,0.09,-0.06,-0.47,0.09,0.16,-0.05
2024-03-31 00:00:00,0.1,-0.53,-0.22,,-0.19,-0.7,-0.15,0.08,-1.43,-0.01,,,-0.08,-0.26,-0.08,,0.24,,,-0.08,-0.17,-0.24,0.26,-0.03,,0.02,-1.6,-0.17,,-0.65,-1.27,-0.39,0.03,-0.27,0.07,,-0.44,-0.17,0.001,-0.01,-0.24,-0.09,-0.06,0.11,0.02,0.07,0.13,-0.13,-0.13,-0.12,-0.42,,,-0.17,-0.2,0.09,-0.08,-0.49,0.1,0.17,-0.02
2023-12-31 00:00:00,0.09,-0.45,-0.25,,-0.46,-0.65,-0.31,-0.13,-3.92,-0.03,-0.48,,-0.14,-0.1,-0.11,,0.18,,,-0.03,-0.04,-0.26,0.26,-0.1,,0.03,-1.49,-0.28,,-0.78,-0.44,-0.37,0.34,-0.22,0.02,,-0.21,-0.18,-0.06,-0.04,-0.18,-0.03,-0.12,0.08,0.01,0.01,0.07,-0.18,-0.13,-0.11,-1.46,,,-0.3,-0.19,-0.32,-0.06,0.17,0.24,,-0.09
2023-09-30 00:00:00,0.08,-0.64,-0.28,,-0.28,-10.63,-0.3,-0.06,-3.79,-0.02,-0.57,,-0.11,-0.84,-0.1,-0.5,0.25,-0.73,,-0.09,-0.05,-0.15,0.27,-0.1,-0.05,0.04,-2.49,-0.24,,-0.94,-1.47,-0.33,0.07,-0.24,0.06,,-0.52,-0.2,0.001,-0.03,-0.25,-0.11,-0.13,0.1,0.001,-0.04,0.1,-0.15,-0.13,-0.17,-0.77,,,-0.33,-0.15,0.001,-0.11,-0.42,0.11,0.12,-0.08
2023-06-30 00:00:00,0.06,-0.55,-0.29,,-0.32,-10.59,-0.41,-0.06,-3.27,-0.03,-0.6,,-0.1,-0.83,-0.1,-0.63,0.26,-0.69,-0.05,-0.07,-0.06,-0.16,0.28,-0.14,-0.05,0.04,-2.79,-0.29,-0.18,-1.16,-1.6,-0.27,0.13,-0.25,0.05,,-0.56,-0.25,-0.02,-0.08,-0.25,-0.09,-0.15,0.1,0.001,-0.02,0.09,-0.19,-0.14,-0.17,-0.76,-0.96,-0.3,-0.62,-0.21,-0.06,-0.1,-0.13,0.13,0.1,-0.05
2023-03-31 00:00:00,0.07,-0.45,-0.35,,-0.5,-10.88,-0.44,-0.16,-2.6,-0.03,-0.58,-0.53,-0.15,-0.24,-0.1,-0.66,0.3,-0.49,-0.03,-0.04,-0.06,-0.27,0.29,-0.19,0.08,0.03,-2.85,-0.33,-0.07,-1.45,-0.55,-0.11,0.18,-0.28,0.03,,-0.3,-0.24,-0.05,-0.02,-0.23,-0.07,-0.17,0.1,0.01,-0.04,0.09,-0.19,-0.16,-0.19,-0.96,-1.04,-0.54,-0.61,-0.29,-0.15,-0.07,0.01,0.15,0.08,-0.02
2022-12-31 00:00:00,0.07,-0.52,-0.33,-0.21,-0.56,-2.7,-0.51,-0.15,-2.15,-0.03,-0.72,-0.5,-0.16,-0.05,-0.08,-0.49,0.3,-0.35,-0.04,-0.02,-0.06,-0.27,0.29,-0.15,0.19,0.04,-2.19,-0.37,0.02,-1.63,-0.56,-0.03,0.21,-0.29,0.03,,-0.38,-0.23,-0.08,-0.04,-0.22,-0.02,-0.2,0.1,0.01,0.01,0.08,-0.2,-0.12,-0.17,-1.8,-1.18,-0.74,-0.38,-0.29,-0.33,-0.15,0.08,0.17,0.07,-0.01
2022-09-30 00:00:00,0.08,-0.52,-0.3,-0.18,-0.59,-3.69,-0.55,-0.19,-0.78,-0.01,-1.65,-0.5,-0.3,0.34,-0.07,-0.35,0.3,-0.28,-0.02,-0.01,-0.05,-0.19,0.29,-0.13,0.23,0.04,-2.47,-0.37,0.03,-1.79,-0.53,0.01,0.24,-0.37,0.02,,-0.56,-0.21,-0.1,-0.06,-0.18,-0.03,-0.22,0.11,0.02,-0.02,0.14,-0.21,-0.09,-0.11,-1.66,-1.38,-0.79,0.04,-0.38,-0.26,-0.21,0.15,0.16,0.06,-0.01
