Date,MELI,GDOT,ENV,FLT,XROLF,QTWO,VIRT,SHOP,PYPL,SQ,BL,RDFN,PAGS,ADYEY,AVLR,EVER,FCH.L,STNE,SEZNL,BILL,LMND,NCNO,DCT,LSPD,ROOT,LU,UPST,OPEN,CLOV,AFRM,BTRS,MILE,LDI,OSCR,OLO,COMP,ALKT,COIN,FLYW,PAY,SOFI,DLO,MQ,KPLT,BHG,PAYO,INTA,WPLCF,BLND,DOMA,HOOD,HIPO,TOST,ML,RELY,AVDX,BKKT,NRDS,EXFY,NU,DAVE,BULL,ETOR,CHYM,CRCL,BLSH,KLAR,FIGR,GEMI,SLDE
2014-12-31,6177031033.322399,1062464279.4209392,,10921643941.139204,1877428100.3563025,1071219696.8053797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,6088972899.372609,1054686356.4383556,,11035479917.931387,1827214057.3138711,1074062636.5527403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,6013979059.814105,1037574925.8766716,,10559572092.374384,1819874165.9980264,1072356872.7043239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,5906571303.157582,1033945228.4847991,,10447204966.895647,1806240956.7661085,1041084535.48336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,5894958597.031996,1031871115.6894432,,10517709829.94113,1823827484.653533,1063259465.5127707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,5983016730.981785,1051056659.0464833,,10731427696.047747,1848924454.877886,1101354858.1273994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5916732421.017471,1033426700.2859601,,10542680302.269737,1880522631.2685165,1084297219.6432376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,5819480894.718259,1036019341.2801547,,10385513211.730848,1854249116.3203156,1084297219.6432376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,5804965012.0612755,1034982284.8824769,,10418562366.28342,1818459692.9163406,1053024882.4222735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,5734809800.0550995,1029278474.6952488,,10266536255.341599,1815050729.4362624,1074062636.5527403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,5655461195.6995,980536824.0043906,,10111572441.772882,1799127170.2957487,1032555716.241279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,5773034957.71849,1011648515.9347256,,10261395275.744534,1848783297.8079545,1054730646.2706898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,5925920925.864316,1044834320.6604161,,10063100348.429115,1796978251.431067,1050181942.6749132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,5955676041.559843,1030315531.0929266,,10091008523.384619,1747738069.7263155,1038241595.7359998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,6079779507.023187,1037574925.8766716,,10387716488.701021,1741819329.0625086,1022889721.1002537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,6158644248.623552,1035500813.0813156,,10499349188.523035,1771265537.7249086,1001283379.0203153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
