Date,ADYEY,AFRM,ALKT,AVDX,AVLR,BHG,BILL,BKKT,BL,BLND,BLSH,BTRS,BULL,CHYM,CLOV,COIN,COMP,CRCL,DAVE,DCT,DLO,DOMA,ENV,ETOR,EVER,EXFY,FCH.L,FIGR,CPAY,FLYW,GDOT,GEMI,HIPO,HOOD,INTA,KLAR,KPLT,LDI,LMND,LSPD,LU,MELI,MILE,ML,MQ,NCNO,NRDS,NU,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,RELY,ROOT,SEZNL,SHOP,SLDE,SOFI,SQ,STNE,TOST,UPST,VIRT,WPLCF,XROLF
2025-12-31 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,,Less than 20%,,Less than 20%,Less than 20%,Greater than 40%,,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%,,Between 20%-40%,,,Greater than 40%,Greater than 40%,,,Greater than 40%,Less than 20%,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Less than 20%,,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,,,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,,Between 20%-40%,Between 20%-40%,,Between 20%-40%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Between 20%-40%
2025-09-30 00:00:00,Between 20%-40%,Greater than 40%,Between 20%-40%,,,,Less than 20%,,Less than 20%,Less than 20%,,,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,Less than 20%,Greater than 40%,,,Between 20%-40%,,,Greater than 40%,Less than 20%,,,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Between 20%-40%,Less than 20%,,,Less than 20%,Between 20%-40%,Between 20%-40%,Less than 20%,Between 20%-40%,,,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,,Between 20%-40%,,,Between 20%-40%,,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%
2025-06-30 00:00:00,Between 20%-40%,Greater than 40%,Between 20%-40%,,,,Between 20%-40%,,Less than 20%,Less than 20%,,,,,Less than 20%,Between 20%-40%,Less than 20%,,,,Between 20%-40%,,,,Less than 20%,,,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Between 20%-40%,,,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,,Between 20%-40%,,,Between 20%-40%,,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%
2025-03-31 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Between 20%-40%,,Less than 20%,Less than 20%,,,,,Less than 20%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,,,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,,,Between 20%-40%,,Between 20%-40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%
2024-12-31 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Between 20%-40%,,Less than 20%,Less than 20%,,,,,Less than 20%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,,,,Less than 20%,Between 20%-40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,,,Between 20%-40%,,Between 20%-40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%
2024-09-30 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Greater than 40%,,Less than 20%,Less than 20%,,,,,Less than 20%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,,,,#N/A,Between 20%-40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Less than 20%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Less than 20%,Greater than 40%,,,Between 20%-40%,,Between 20%-40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Less than 20%,Less than 20%,Greater than 40%,Between 20%-40%
2024-06-30 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Greater than 40%,,Between 20%-40%,Less than 20%,,,,,Between 20%-40%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,Between 20%-40%,,,Less than 20%,Greater than 40%,Less than 20%,,Greater than 40%,Between 20%-40%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,Greater than 40%,Between 20%-40%,Greater than 40%,Between 20%-40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,,,Between 20%-40%,,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Between 20%-40%
2024-03-31 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,,,,,Between 20%-40%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,Between 20%-40%,,,Less than 20%,Greater than 40%,Less than 20%,,Greater than 40%,Less than 20%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,,,Between 20%-40%,,Greater than 40%,Less than 20%,Between 20%-40%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%
2023-12-31 00:00:00,Between 20%-40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,Greater than 40%,Between 20%-40%,Between 20%-40%,Between 20%-40%,,,,,Between 20%-40%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,Between 20%-40%,,,Between 20%-40%,Greater than 40%,Less than 20%,,Greater than 40%,Less than 20%,Between 20%-40%,,,Less than 20%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Between 20%-40%,Greater than 40%,,,Between 20%-40%,,Greater than 40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%
2023-09-30 00:00:00,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Greater than 40%,,,,,Greater than 40%,Between 20%-40%,Less than 20%,,,,Greater than 40%,,Less than 20%,,Less than 20%,Between 20%-40%,,,Between 20%-40%,Greater than 40%,Less than 20%,,Greater than 40%,Less than 20%,Between 20%-40%,,,Less than 20%,Greater than 40%,Greater than 40%,Less than 20%,Greater than 40%,,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Greater than 40%,Greater than 40%,Greater than 40%,Between 20%-40%,Between 20%-40%,Less than 20%,Less than 20%,Greater than 40%,Greater than 40%,,,Between 20%-40%,,Greater than 40%,Less than 20%,Greater than 40%,Greater than 40%,Between 20%-40%,Less than 20%,Greater than 40%,Greater than 40%
